MAE,MSE,RMSE,R2,Runtime
14.525833305644133,647.0384132897591,25.43694976387222,-0.05784535722785944,28.528957200000036
21.994484166601822,2312.5869172009484,48.08936386770934,-0.014494375917282643,28.528957200000036
14.907587733994935,680.6930985300244,26.090095793806974,-0.026800198299317346,28.528957200000036
16.265128652608773,1033.779224204162,32.152437298036396,-0.007950163395110899,28.528957200000036
16.333701429334397,908.6757745868583,30.144249444742496,-0.01215144160675119,28.528957200000036
25.908383707788627,10551.134392900167,102.71871491067324,-0.006039621378826077,28.528957200000036
13.121700895114834,253.03937861302808,15.907211528518381,-0.12575017496913787,28.528957200000036
14.15636746991024,340.49136113986225,18.45240800383143,-0.10064927177341954,28.528957200000036
17.44379831155069,972.5022069047313,31.184967643156718,-0.024473999040196762,28.528957200000036
31.731244732847525,23081.17981557901,151.92491505865326,-0.013212062844841999,28.528957200000036
