MAE,MSE,RMSE,R2,Runtime
205.7700474563012,111924.31776556507,334.5509195407555,-181.9854572423615,28.528957200000036
1086.5536025054637,3215762.20168435,1793.2546393873765,-1409.702725865448,28.528957200000036
1104.8069160461425,3231490.462942983,1797.634685619685,-4873.583061467386,28.528957200000036
756.5039290919672,1554437.1378613613,1246.7706837511705,-1514.5993953166926,28.528957200000036
1107.6011125725965,2891375.9976886758,1700.4046570415749,-3219.632117785168,28.528957200000036
287.71364440184374,234286.05341396935,484.0310459195457,-21.338929985531397,28.528957200000036
167.1952843827468,59290.69588498997,243.49680877783587,-262.77914628317404,28.528957200000036
19.61763812944001,483.86571527890874,21.9969478628038,-0.5641114810519245,28.528957200000036
245.36538254083374,192579.47353339367,438.8387785205333,-201.87117292180994,28.528957200000036
38.65067450205485,23077.335819440596,151.91226355841255,-0.013043320029782812,28.528957200000036
