MAE,MSE,RMSE,R2,Runtime
25.682435043506736,1635.9369618239862,40.44671756550816,-1.6745990411669185,28.528957200000036
446.3420449967679,777471.4254715531,881.7434011499905,-340.06410561724505,28.528957200000036
142.85713005461835,84465.33865964762,290.62921164199514,-126.41281889362313,28.528957200000036
292.7221357542925,341748.20728338166,584.5923428196623,-332.2095995994228,28.528957200000036
332.35155284802727,388988.3725856878,623.689323770808,-432.2845147763247,28.528957200000036
307.19695432791053,303448.3288292108,550.8614424963965,-27.933480560042874,28.528957200000036
21.65422327281639,1007.690616491145,31.74414302656704,-3.4831278595752058,28.528957200000036
433.0065803158647,789793.7696276832,888.7034205108491,-2552.0337524035453,28.528957200000036
279.09972293227315,286730.8828384723,535.4725789790475,-301.05415689985387,28.528957200000036
118.76343358663995,39666.730016578615,199.16508232262655,-0.7412805440421899,28.528957200000036
