,MAE,MSE,RMSE,R2,TIME
0,7.371804730969592,661.1693168598667,25.713212884815984,-0.08094802072981544,0.057338714599609375
1,18.244183756710534,2597.9662018629015,50.97024820287715,-0.1396856399253248,0.02915501594543457
2,9.56147125064128,737.0222252551279,27.148153256807873,-0.11177058894418757,0.07504105567932129
3,9.661752004969596,1107.2958493404894,33.27605519499704,-0.07962996947310907,0.06106090545654297
4,9.999589552811162,979.1803223267746,31.29185712492588,-0.09068471126196376,0.048931121826171875
5,20.103440213791618,10860.847325429319,104.21538910079124,-0.03557042534502397,0.023843765258789062
6,7.980128220489974,276.9363041814372,16.641403311663268,-0.23206551721870206,0.03193306922912598
7,7.643068620539939,356.3934082362757,18.878384682919133,-0.15205315026766608,0.06055593490600586
8,9.188703819026609,1015.4018531463636,31.865370751748106,-0.06966625858524944,0.0460360050201416
9,28.179128657738076,23514.59025326217,153.34467794241237,-0.032237809671137985,0.06471014022827148
