MAE,MSE,RMSE,R2,Runtime
255.36041662460406,110760.09214748001,332.80638838141317,-180.08206072128743,28.528957200000036
452.2700358194585,726067.0190746184,852.0956631004634,-317.5138261881043,28.528957200000036
641.3359446939475,2437503.790030838,1561.2507133804097,-3675.883723904255,28.528957200000036
633.0645306990731,1070807.0644170167,1034.798079055531,-1043.052859907944,28.528957200000036
389.90247269661563,510826.6451319125,714.721375874482,-567.9971491938167,28.528957200000036
377.0890673821702,466069.053160966,682.6925026400729,-43.43919642365252,28.528957200000036
312.5798119476095,360873.5018975979,600.727477228733,-1604.4948053133965,28.528957200000036
549.1476033068687,5178762.032562633,2275.6893532647714,-16739.514768850564,28.528957200000036
293.34263687440426,292154.73508925387,540.513399546444,-306.7678669213939,28.528957200000036
230.73494708480885,181689.54214378828,426.2505626316384,-6.97576368555424,28.528957200000036
